Date,Open,High,Low,Close,Volume,Momentum,ET,Signal,Position,Momentum_weekly,Momentum_Status
2019-06-14,8230.898438,8710.636719,8183.393066,8693.833008,19831162906.0,119.33105499999874,1,1,-1.0,410.9946289999998,1
2019-07-11,12139.713867,12144.623047,11158.922852,11358.662109,28595327690.0,175.85546800000157,1,1,-1.0,410.9946289999998,1
2019-07-15,10257.838867,11052.766602,9992.006836,10895.089844,25384047207.0,311.95507800000087,1,1,-1.0,410.9946289999998,1
2019-07-30,9522.329102,9701.759766,9437.335938,9607.423828,13829811132.0,129.78222600000117,1,1,-1.0,410.9946289999998,1
2019-08-03,10519.27832,10946.78125,10503.504883,10821.726563,15352685061.0,54.58691499999986,1,1,-1.0,410.9946289999998,1
2019-09-04,10621.180664,10762.644531,10434.709961,10594.493164,16742664769.0,456.44335899999896,1,1,-1.0,410.9946289999998,1
2019-09-07,10353.931641,10558.673828,10348.918945,10517.254883,15307366476.0,357.29394499999944,1,1,-1.0,410.9946289999998,1
2019-09-11,10123.035156,10215.948242,9980.776367,10178.37207,15428063426.0,423.94921799999975,1,1,-1.0,410.9946289999998,1
2019-10-15,8373.458008,8410.714844,8182.706543,8205.369141,15220412632.0,-137.90722600000117,1,-1,1.0,-2751.185547,0
2019-10-21,8225.115234,8296.694336,8196.416016,8243.720703,15868748866.0,-1.9023439999982656,1,-1,1.0,-2751.185547,0
2019-11-09,8809.46875,8891.818359,8793.163086,8813.582031,17578630606.0,-431.390625,1,-1,1.0,-2751.185547,0
2019-12-11,7277.197754,7324.15625,7195.527344,7217.427246,16350490689.0,-314.23632799999996,1,-1,1.0,-2751.185547,0
2019-12-19,7277.59082,7346.602539,7041.381836,7202.844238,25904604416.0,-245.4633790000007,1,-1,1.0,-2751.185547,0
2019-12-26,7274.799316,7388.302734,7200.386719,7238.966797,22787010034.0,-4.167480000000069,1,-1,1.0,-2751.185547,0
2020-01-01,7194.89209,7254.330566,7174.944336,7200.174316,18565664997.0,-76.62841800000024,1,-1,1.0,-2751.185547,0
2020-01-05,7410.45166,7544.49707,7400.535645,7411.317383,19725074095.0,-100.27148400000078,1,-1,1.0,-2751.185547,0
2020-04-20,7186.873535,7240.290527,6835.50293,6881.958496,37747113936.0,-389.8227539999998,1,-1,1.0,-2172.0302740000006,0
2020-05-21,9522.740234,9555.242188,8869.930664,9081.761719,39326160532.0,-869.7568360000005,1,-1,1.0,-587.9345700000013,0
2020-05-27,8837.380859,9203.320313,8834.157227,9181.017578,32740536902.0,-88.9697269999997,1,-1,1.0,-587.9345700000013,0
2020-05-31,9700.105469,9700.34375,9432.296875,9461.058594,27773290299.0,-209.68066399999952,1,-1,1.0,-587.9345700000013,0
2020-06-02,10162.973633,10182.34082,9460.571289,9529.803711,39137252109.0,-199.234375,1,-1,1.0,-587.9345700000013,0
2020-06-12,9320.69043,9540.46582,9285.851563,9480.84375,22610564515.0,41.71972699999969,1,1,-1.0,1196.3984369999998,1
2020-06-16,9454.266602,9579.430664,9400.445313,9538.024414,21565537209.0,8.220702999999048,1,1,-1.0,1196.3984369999998,1
2020-07-08,9253.020508,9450.335938,9249.5,9428.333008,19702359883.0,114.72265599999992,1,1,-1.0,1196.3984369999998,1
2020-07-16,9191.980469,9214.3125,9088.947266,9132.227539,15713967523.0,8.817382999999609,1,1,-1.0,1196.3984369999998,1
2020-07-21,9162.514648,9407.262695,9149.389648,9374.887695,18069581956.0,122.61035099999935,1,1,-1.0,1196.3984369999998,1
2020-09-17,10973.251953,11037.420898,10774.62793,10948.990234,38151810523.0,703.6933590000008,1,1,-1.0,1196.3984369999998,1
2020-10-05,10676.529297,10793.507813,10634.600586,10793.339844,47537578009.0,331.08007800000087,1,1,-1.0,1196.3984369999998,1
2020-12-10,18553.298828,18553.298828,17957.064453,18264.992188,25547132265.0,1114.3691409999992,1,1,-1.0,1196.3984369999998,1
2020-12-15,19246.919922,19525.007813,19079.841797,19417.076172,26741982541.0,614.078125,1,1,-1.0,1196.3984369999998,1
2021-02-03,35510.820313,37480.1875,35443.984375,37472.089844,61166818159.0,1924.339844000002,1,1,-1.0,1196.3984369999998,1
2021-03-01,45159.503906,49784.015625,45115.09375,49631.242188,53891300112.0,1686.1835939999946,1,1,-1.0,1196.3984369999998,1
2021-03-09,52272.96875,54824.117188,51981.832031,54824.117188,50912227385.0,5999.691406999998,1,1,-1.0,1196.3984369999998,1
2021-03-29,55947.898438,58342.097656,55139.339844,57750.199219,57625587027.0,1843.0,1,1,-1.0,1196.3984369999998,1
2021-04-04,57604.839844,58913.746094,57168.675781,58758.554688,50749662970.0,1235.1328129999965,1,1,-1.0,1196.3984369999998,1
2021-05-02,57825.863281,57902.59375,56141.90625,56631.078125,38177405335.0,414.8945309999981,1,1,-1.0,1196.3984369999998,1
