Date,Open,High,Low,Close,Volume
2014-09-21,465.864014,468.174011,384.532013,398.821014,156903400.0
2014-09-28,399.100006,441.557007,374.332001,377.181,186772600.0
2014-10-05,376.928009,391.378998,289.29599,320.51001,276657896.0
2014-10-12,320.389008,382.726013,302.559998,378.549011,341152804.0
2014-10-19,377.92099,411.697998,368.897003,389.54599,156902070.0
2014-10-26,389.230988,392.645996,342.877014,354.70401,113691800.0
2014-11-02,354.777008,359.984009,320.626007,325.891998,107075700.0
2014-11-09,325.569,363.626007,325.076996,363.264008,116793470.0
2014-11-16,362.265015,457.092987,357.561005,387.881989,208239500.0
2014-11-23,388.348999,410.199005,344.112,367.572998,178181000.0
2014-11-30,366.947998,394.700989,358.454987,378.046997,131238570.0
2014-12-07,378.248993,384.037994,365.756012,375.095001,80679570.0
2014-12-14,374.964996,376.028992,338.763,351.631989,141754100.0
2014-12-21,351.360992,351.815002,304.231995,320.842987,184757400.0
2014-12-28,321.067993,336.286987,311.078003,317.239014,107137540.0
2015-01-04,317.700989,320.434998,257.612,264.195007,143354400.0
2015-01-11,265.084015,298.753998,265.039001,265.660004,164241500.0
2015-01-18,266.145996,272.203003,171.509995,210.339005,363112212.0
2015-01-25,211.470993,255.074005,205.153,253.718002,189165500.0
2015-02-01,254.078995,309.384003,212.014999,226.972,306840500.0
2015-02-08,226.490997,245.957001,214.725006,223.412003,183691200.0
2015-02-15,223.389008,265.610992,215.332001,234.824997,230343800.0
2015-02-22,234.824997,255.320007,229.022003,235.977005,154676000.0
2015-03-01,235.994995,261.660004,232.421005,260.201996,138892900.0
2015-03-08,260.356995,285.79599,258.312988,274.354004,242425100.0
2015-03-15,274.812012,300.044006,273.893005,286.393005,259502000.0
2015-03-22,285.684998,294.112,248.636002,267.959991,206778200.0
2015-03-29,267.894989,277.296997,236.514999,242.712997,179497700.0
2015-04-05,242.878998,260.674988,239.214005,260.597992,150120700.0
2015-04-12,260.721008,261.798004,232.770996,236.153,147866600.0
2015-04-19,235.949997,236.934998,216.322998,222.600006,158658500.0
2015-04-26,222.612,237.908997,214.873993,219.429993,148576200.0
2015-05-03,219.429001,243.240005,218.022995,240.358002,162643200.0
2015-05-10,240.356003,247.804001,228.572998,240.296005,166059200.0
2015-05-17,240.298996,244.270004,234.057007,236.802002,130322100.0
2015-05-24,236.886993,241.977997,231.817001,240.953003,114746500.0
2015-05-31,240.927002,241.020996,229.542007,230.190002,107149900.0
2015-06-07,230.233002,231.712997,221.296005,222.880997,121536400.0
2015-06-14,222.878998,234.858002,222.839005,233.542999,121541200.0
2015-06-21,233.421997,256.852997,233.421997,243.944,191537000.0
2015-06-28,243.968994,251.339005,240.365005,249.011002,115888900.0
2015-07-05,248.720993,274.506012,248.580994,271.912994,206668700.0
2015-07-12,271.108002,314.394012,264.385986,310.867004,353198700.0
2015-07-19,310.826996,310.947998,272.042999,273.614014,235861300.0
2015-07-26,273.498993,293.052002,272.959991,292.686005,157457100.0
2015-08-02,292.639008,297.773987,277.528992,282.614014,162700300.0
2015-08-09,282.806,285.714996,260.467987,265.083008,207110300.0
2015-08-16,265.477997,270.673004,257.040985,258.506989,177043500.0
2015-08-23,258.48999,260.505005,211.078995,228.169006,221695600.0
2015-08-30,228.112,235.218994,199.567001,228.761002,241915000.0
2015-09-06,229.113998,242.912003,225.914993,239.839996,144635800.0
2015-09-13,239.934006,245.781006,229.332001,230.511993,148588700.0
2015-09-20,230.608994,259.182007,227.401993,231.212006,126654700.0
2015-09-27,231.216995,237.427002,225.117004,232.757004,137307600.0
2015-10-04,232.835999,239.802002,232.466995,238.259003,136796200.0
2015-10-11,238.147003,247.242996,237.035004,247.050003,142478600.0
2015-10-18,246.875,273.578003,243.757004,261.643005,199808300.0
2015-10-25,261.860992,294.05899,260.950989,283.679993,220696500.0
2015-11-01,283.627991,334.169006,280.51001,325.431,357648800.0
2015-11-08,325.941986,495.562012,323.209015,373.368011,954934692.0
2015-11-15,374.324005,385.278015,300.997009,320.165985,484398204.0
2015-11-22,319.734985,338.350006,312.21701,324.536011,292569400.0
2015-11-29,324.350006,371.938995,316.769989,371.294006,337018400.0
2015-12-06,371.437012,402.80899,349.464996,388.78299,416857500.0
2015-12-13,389.977997,469.102997,385.411011,433.755005,562276900.0
2015-12-20,433.272003,465.580994,430.455994,442.684998,553061704.0
2015-12-27,442.838013,458.455994,405.76001,422.822998,441634396.0
2016-01-03,423.342987,436.246002,418.480988,430.010986,300130400.0
2016-01-10,430.061005,462.93399,426.341003,447.990997,319871700.0
2016-01-17,448.697998,450.661987,354.914001,382.299011,692913108.0
2016-01-24,381.733002,425.266998,375.282013,402.971008,493900500.0
2016-01-31,402.316986,402.316986,365.451996,368.766998,378185696.0
2016-02-07,369.350006,391.608002,367.957001,376.619995,337404904.0
2016-02-14,376.756989,407.230011,372.89801,407.230011,465920396.0
2016-02-21,407.567993,448.04599,397.748993,438.798004,546633900.0
2016-02-28,438.989014,439.858002,413.907013,433.503998,465584792.0
2016-03-06,433.437988,441.506989,394.035004,407.707001,628483380.0
2016-03-13,407.756989,423.925995,406.30899,414.065002,548114688.0
2016-03-20,414.200989,420.997009,406.136993,413.755005,520066400.0
